#time,accel_x,accel_y,accel_z
372.602591,-9474.636058,-296.082377,0.000000
372.602907,-9400.615463,-592.164754,0.000000
372.603222,-9474.636058,-296.082377,383.047749
372.603538,-9474.636058,0.000000,0.000000
372.603854,-9548.656652,-296.082377,0.000000
372.604170,-9474.636058,-296.082377,0.000000
372.604485,-9474.636058,0.000000,0.000000
372.604801,-8956.491898,-518.144159,0.000000
372.605117,-9400.615463,-370.102971,0.000000
372.605432,-9474.636058,-296.082377,0.000000
372.605748,-9474.636058,-370.102971,76.609550
372.606064,-9400.615463,-296.082377,-766.095498
372.606380,-10140.821405,222.061783,153.219100
372.606695,-9474.636058,-370.102971,76.609550
372.607011,-9474.636058,-296.082377,0.000000
372.607327,-9474.636058,-444.123565,306.438199
372.607643,-9474.636058,0.000000,229.828649
372.607958,-9474.636058,-370.102971,0.000000
372.608274,-9474.636058,-296.082377,306.438199
372.608590,-9622.677246,-444.123565,229.828649
372.608905,-9400.615463,-370.102971,306.438199
372.609221,-10881.027347,592.164754,-842.705048
372.609537,-9474.636058,-370.102971,0.000000
372.609853,-9474.636058,-296.082377,76.609550
372.610168,-9474.636058,-222.061783,0.000000
372.610484,-9474.636058,-222.061783,1149.143247
372.610800,-9696.697840,0.000000,-153.219100
372.611115,-9696.697840,-296.082377,0.000000
372.611431,-9622.677246,0.000000,229.828649
372.611747,-9622.677246,-444.123565,76.609550
372.612063,-9918.759623,74.020594,153.219100
372.612378,-9326.594869,-296.082377,-306.438199
372.612694,-9474.636058,0.000000,0.000000
372.613010,-9548.656652,74.020594,-229.828649
372.613326,-9696.697840,-296.082377,0.000000
372.613641,-10510.924376,1258.350101,1225.752797
372.613957,-9622.677246,-888.247130,229.828649
372.614273,-9622.677246,-740.205942,0.000000
372.614588,-9252.574275,-888.247130,-306.438199
372.614904,-9474.636058,-222.061783,-306.438199
372.615220,-8734.430116,-444.123565,306.438199
372.615536,-9696.697840,-962.267725,0.000000
372.615851,-9474.636058,-1258.350101,-612.876398
372.616167,-8956.491898,-814.226536,-1072.533697
372.616483,-8882.471304,0.000000,-766.095498
372.616799,-9548.656652,0.000000,0.000000
372.617114,-9770.718434,-962.267725,-229.828649
372.617430,-9326.594869,-1702.473667,-1455.581446
372.617746,-8956.491898,-666.185348,-1378.971896
372.618061,-9622.677246,74.020594,1608.800546
372.618377,-10066.800811,-666.185348,-383.047749
372.618693,-9178.553681,-1036.288319,-1302.362347
372.619009,-8734.430116,-148.041188,-1915.238745
372.619324,-9474.636058,518.144159,-1225.752797
372.619640,-10362.883188,0.000000,-459.657299
372.619956,-9844.739029,-888.247130,-1608.800546
372.620272,-8586.388927,148.041188,-1608.800546
372.620587,-9844.739029,1184.329507,-1072.533697
372.620903,-10436.903782,666.185348,-995.924147
372.621219,-9844.739029,444.123565,-536.266849
372.621534,-9178.553681,740.205942,-766.095498
372.621850,-10066.800811,0.000000,-842.705048
