#time,accel_x,accel_y,accel_z
1122.917833,-9474.636058,-148.041188,383.047749
1122.918149,-9252.574275,-296.082377,306.438199
1122.918464,-9696.697840,-370.102971,0.000000
1122.918780,-9622.677246,-296.082377,0.000000
1122.919096,-9474.636058,-444.123565,153.219100
1122.919412,-9474.636058,-296.082377,-612.876398
1122.919727,-9548.656652,-296.082377,-766.095498
1122.920043,-9474.636058,-444.123565,-153.219100
1122.920359,-9474.636058,-296.082377,-76.609550
1122.920675,-9474.636058,-370.102971,0.000000
1122.920991,-9548.656652,0.000000,3370.820191
1122.921306,-9548.656652,-444.123565,76.609550
1122.921622,-9400.615463,-444.123565,0.000000
1122.921938,-9474.636058,-518.144159,-229.828649
1122.922254,-9474.636058,-444.123565,0.000000
1122.922570,-9696.697840,-370.102971,153.219100
1122.922885,-9548.656652,-296.082377,153.219100
1122.923201,-9548.656652,-370.102971,0.000000
1122.923517,-9474.636058,-370.102971,0.000000
1122.923833,-9400.615463,-592.164754,-306.438199
1122.924149,-9474.636058,-296.082377,0.000000
1122.924464,-9474.636058,0.000000,153.219100
1122.924780,-9548.656652,-370.102971,76.609550
1122.925096,-9474.636058,-296.082377,0.000000
1122.925412,-9918.759623,-592.164754,-306.438199
1122.925728,-9474.636058,-888.247130,-459.657299
1122.926043,-9252.574275,-518.144159,-766.095498
1122.926359,-9326.594869,296.082377,-383.047749
1122.926675,-9622.677246,222.061783,0.000000
1122.926991,-9992.780217,444.123565,76.609550
1122.927307,-9548.656652,-592.164754,0.000000
1122.927622,-9474.636058,-370.102971,-459.657299
1122.927938,-9622.677246,370.102971,-153.219100
1122.928254,-10140.821405,592.164754,995.924147
1122.928570,-9770.718434,-222.061783,536.266849
1122.928886,-9326.594869,-888.247130,-306.438199
1122.929201,-9030.512492,-962.267725,-766.095498
1122.929517,-9548.656652,148.041188,-229.828649
1122.929833,-9696.697840,-740.205942,383.047749
1122.930149,-9178.553681,-1332.370696,-842.705048
1122.930465,-8438.347739,-740.205942,-1532.190996
1122.930780,-9326.594869,222.061783,-1455.581446
1122.931096,-9696.697840,74.020594,-76.609550
1122.931412,-9844.739029,-370.102971,0.000000
1122.931728,-9178.553681,148.041188,-306.438199
1122.932044,-9992.780217,-222.061783,-306.438199
1122.932359,-10362.883188,518.144159,306.438199
1122.932675,-9992.780217,-296.082377,766.095498
1122.932991,-9400.615463,0.000000,689.485948
1122.933307,-9178.553681,-592.164754,-306.438199
1122.933623,-9770.718434,-814.226536,-306.438199
1122.933938,-9474.636058,-888.247130,-229.828649
1122.934254,-9326.594869,-444.123565,-536.266849
1122.934570,-9252.574275,-370.102971,-766.095498
1122.934886,-9252.574275,-296.082377,-995.924147
1122.935202,-9548.656652,-370.102971,-842.705048
1122.935517,-9252.574275,370.102971,-383.047749
1122.935833,-9030.512492,296.082377,-612.876398
1122.936149,-9918.759623,222.061783,-536.266849
1122.936465,-9696.697840,444.123565,-229.828649
1122.936781,-9770.718434,666.185348,229.828649
1122.937096,-9030.512492,592.164754,-229.828649
1122.937412,-9622.677246,0.000000,76.609550
1122.937728,-9992.780217,74.020594,459.657299
1122.938044,-9252.574275,-518.144159,0.000000
1122.938360,-9474.636058,518.144159,-383.047749
1122.938675,-9400.615463,-666.185348,0.000000
1122.938991,-9770.718434,-148.041188,-153.219100
1122.939307,-9030.512492,-296.082377,-383.047749
1122.939623,-9770.718434,-444.123565,-536.266849
1122.939939,-8956.491898,444.123565,-1149.143247
1122.940254,-9770.718434,148.041188,-306.438199
1122.940570,-9474.636058,148.041188,-306.438199
1122.940886,-9918.759623,296.082377,-306.438199
1122.941202,-8956.491898,148.041188,229.828649
1122.941518,-9770.718434,370.102971,-229.828649
1122.941833,-9474.636058,444.123565,0.000000
1122.942149,-9696.697840,0.000000,0.000000
1122.942465,-9030.512492,74.020594,-306.438199
1122.942781,-9474.636058,148.041188,-229.828649
